AnimationID	KindID	SheathType	AnimationRatio	AnimationSpeed	IsLoop	AnimationFile
65	12	2			0	Data\source\player\M2\动作\M2b05ty攻击02.tani
66	13	2			0	Data\source\player\M2\动作\M2b05ty攻击03.tani
67	12	2			0	Data\source\player\M2\动作\M2b01bi攻击11.tani
68	12	2			0	Data\source\player\M2\动作\M2b01bi攻击13.tani
69	12	2			0	Data\source\player\M2\动作\M2b01bi攻击15.tani
70	14	1			0	Data\source\player\M2\动作\M2b01aq攻击21.tani
71	14	1			0	Data\source\player\M2\动作\M2b01aq攻击22.tani
72	14	1			0	Data\source\player\M2\动作\M2b01aq攻击23.tani
73	10	2	0.7		0	Data\source\player\M2\动作\M2b01ty被击01.tani
74	10	2	0.7		0	Data\source\player\M2\动作\M2b03ty被击01.tani
75	10	2	0.7		0	Data\source\player\M2\动作\M2b04ty被击01.tani
76	10	2	0.7		0	Data\source\player\M2\动作\M2b05ty被击01.tani
77	10	2	0.7		0	Data\source\player\M2\动作\M2b01bi被击01.tani
78	10	2	0.7		0	Data\source\player\M2\动作\M2b01ty被击01.tani
79	10	2	0.7		0	Data\source\player\M2\动作\M2b01ty被击01.tani
80	29	1			1	Data\source\player\M2\动作\M2b02zd眩晕.tani
81	12	2			0	Data\source\player\M2\动作\M2b04gu攻击01.tani
82	12	2			0	Data\source\player\M2\动作\M2b04gu攻击04.tani
83	12	2			0	Data\source\player\M2\动作\M2b04gu攻击03.tani
84	43	2			0	Data\source\player\M2\动作\M2b01bi格挡.tani
85	43	2			0	Data\source\player\M2\动作\M2b01qt格挡.tani
86	43	2			0	Data\source\player\M2\动作\M2b03ty格挡.tani
87	43	2			0	Data\source\player\M2\动作\M2b04ty格挡.tani
88	43	2			0	Data\source\player\M2\动作\M2b05ty格挡.tani
90	5				1	Data\source\player\M2\动作\M2b01ty后退02.tani
91	5	2			0	Data\source\player\M2\动作\M2b01qt战斗待机后退02.tani
92	5	2			0	Data\source\player\M2\动作\M2b03ty战斗待机后退02.tani
93	5	2			0	Data\source\player\M2\动作\M2b04ty战斗待机后退02.tani
94	5	2			0	Data\source\player\M2\动作\M2b05ty战斗待机后退02.tani
95	11	1			1	Data\source\player\M2\动作\M2b02xs攻击02-01.tani
96	14				0	Data\source\player\M2\动作\M2b02xs攻击02-02.tani
97	14	2			0	Data\source\player\M2\动作\M2b02xs攻击04.tani
98	15	1			0	Data\source\player\M2\动作\M2b02xs攻击05.tani
99	15	2			0	Data\source\player\M2\动作\M2b02xs攻击01.tani
100	1				1	Data\source\player\M2\动作\M2选人界面待机.ani
101	8	1			0	Data\source\player\M2\动作\M2b02dj站立引导a.ani
102	11	1			1	Data\source\player\M2\动作\M2b02dj站立引导b.ani
103	9	1			0	Data\source\player\M2\动作\M2b02dj站立引导c.ani
105	1	1			1	Data\source\player\M2\动作\M2H坐马车.ani
106	1	1			1	Data\source\player\M2\动作\M2b02dj打坐a.tani
107	11	1			0	data\source\player\M2\动作\M2H上马02.tani
112	11	1			0	Data\source\player\M2\动作\M2b02dj站立引导3秒.ani
150	31	1			0	Data\source\player\M2\动作\M2b02dj拱手.ani
151	31	1			0	Data\source\player\M2\动作\M2b02dj鼓掌.tani
152	31	1			0	Data\source\player\M2\动作\M2b02dj哭.tani
153	31	1			0	Data\source\player\M2\动作\M2b02dj笑.tani
154	31	1			0	Data\source\player\M2\动作\M2b02dj说话.tani
159	1	1			0	Data\source\player\M2\动作\M2s06吃饭01.tani
160	1	1			0	Data\source\player\M2\动作\M2s06吃饭02.tani
161	1	1			0	Data\source\player\M2\动作\M2s06打水01.ani
162	1	1			0	Data\source\player\M2\动作\M2s06二指禅01.ani
163	1	1			0	Data\source\player\M2\动作\M2s06二指禅02.ani
164	24	1			0	Data\source\player\M2\动作\M2s06sh摆摊01.ani
165	31	1			0	Data\source\player\M2\动作\M2b02dj吃.tani
166	31	1			0	Data\source\player\M2\动作\M2b02dj喝.tani
167	26	1			0	Data\source\player\M2\动作\M2b02dj跪01.tani
168	27	1			1	Data\source\player\M2\动作\M2b02dj跪02.tani
169	28	1			0	Data\source\player\M2\动作\M2b02dj跪03.tani
170	31	1			0	Data\source\player\M2\动作\M2b02dj点头.tani
171	31	1			0	Data\source\player\M2\动作\M2b02dj摇头.tani
172	31	1			0	Data\source\player\M2\动作\M2b02dj振臂.tani
173	31	1			0	Data\source\player\M2\动作\M2b02dj苦恼.tani
174	31	1			0	Data\source\player\M2\动作\M2s06sh请客01.tani
175	26	1			0	Data\source\player\M2\动作\M2b02dj坐a.tani
176	27	1			1	Data\source\player\M2\动作\M2b02dj坐b.ani
177	28	1			0	Data\source\player\M2\动作\M2b02dj坐c.tani
200	8	1			0	Data\source\player\M2\动作\M2b02dj拾取a.ani
201	9	1			0	Data\source\player\M2\动作\M2b02dj拾取c.ani
202	6				1	Data\source\player\M2\动作\M2b02yd挪步左.tani
203	6				1	Data\source\player\M2\动作\M2b02yd挪步右.tani
204	16				0	Data\source\player\M2\动作\M2b02yd握拳小跳a.tani
205	17				1	Data\source\player\M2\动作\M2b02yd握拳小跳b.ani
206	18				0	Data\source\player\M2\动作\M2b02yd握拳小跳c.tani
207	24	1			0	Data\source\player\M2\动作\M2b02dj打坐a.tani
208	25	1			0	Data\source\player\M2\动作\M2b02dj打坐c.tani
209	18				0	Data\source\player\M2\动作\M2b02yd缓冲01.tani
210	7	1			0	Data\source\player\M2\动作\M2b04ty拔武器01a.ani
211	7	2			0	Data\source\player\M2\动作\M2b04ty拔武器01b.tani
212	7	1			0	Data\source\player\M2\动作\M2b03ty拔武器02a.ani
213	7	2			0	Data\source\player\M2\动作\M2b03ty拔武器02b.tani
214	7	1			0	Data\source\player\M2\动作\M2b01qt拔武器03a.ani
215	7	2			0	Data\source\player\M2\动作\M2b01qt拔武器03b.ani
216	7	1			0	Data\source\player\M2\动作\M2b05ty拔武器01a.ani
217	7	2			0	Data\source\player\M2\动作\M2b05ty拔武器01b.tani
218	7	1			0	Data\source\player\M2\动作\M2b01bi拔武器01a.ani
219	7	2			0	Data\source\player\M2\动作\M2b01bi拔武器01b.tani
220	7	1			0	Data\source\player\M2\动作\M2b01qt拔武器02a.ani
221	7	2			0	Data\source\player\M2\动作\M2b01qt拔武器02b.ani
222	24	1			0	Data\source\player\M2\动作\M2b02dj坐下a.tani
223	25	1			0	Data\source\player\M2\动作\M2b02dj坐下c.tani
224	19				0	Data\source\player\M2\动作\M2b02yd握拳二段跳a.tani
225	20				1	Data\source\player\M2\动作\M2b02yd握拳小跳b.ani
226	21				0	Data\source\player\M2\动作\M2b02yd握拳小跳c.tani
227	7	2			0	Data\source\player\M2\动作\M2b01bi插武器01a.tani
228	7	1			0	Data\source\player\M2\动作\M2b01bi插武器01b.ani
229	7	2			0	Data\source\player\M2\动作\M2b01qt插武器02a.ani
230	7	1			0	Data\source\player\M2\动作\M2b01qt插武器02b.ani
231	7	2			0	Data\source\player\M2\动作\M2b01qt插武器03a.ani
232	7	1			0	Data\source\player\M2\动作\M2b01qt插武器03b.ani
233	7	2			0	Data\source\player\M2\动作\M2b03ty插武器02a.tani
234	7	1			0	Data\source\player\M2\动作\M2b03ty插武器02b.ani
235	7	2			0	Data\source\player\M2\动作\M2b03ty插武器01a.tani
236	7	1			0	Data\source\player\M2\动作\M2b03ty插武器01b.ani
237	7	2			0	Data\source\player\M2\动作\M2b04ty插武器01a.tani
238	7	1			0	Data\source\player\M2\动作\M2b04ty插武器01b.ani
239	7	2			0	Data\source\player\M2\动作\M2b04ty插武器02a.tani
240	7	1			0	Data\source\player\M2\动作\M2b04ty插武器02b.ani
241	7	2			0	Data\source\player\M2\动作\M2b05ty插武器01a.tani
242	7	1			0	Data\source\player\M2\动作\M2b05ty插武器01b.ani
243	7	2			0	Data\source\player\M2\动作\M2b05ty插武器02a.tani
244	7	1			0	Data\source\player\M2\动作\M2b05ty插武器02b.ani
250	44	2			0	Data\source\player\M2\动作\M2b01ty闪避.tani
251	44	2			0	Data\source\player\M2\动作\M2b04ty闪避.tani
252	44	2			0	Data\source\player\M2\动作\M2b03ty闪避.tani
253	44	2			0	Data\source\player\M2\动作\M2b05ty闪避.tani
254	3	1			1	Data\source\player\M2\动作\M2b02yd游泳水中待机.tani
255	4	1			1	Data\source\player\M2\动作\M2b02yd游泳向前游泳.tani
256	4	1			1	Data\source\player\M2\动作\M2b02yd游泳向后游泳.tani
257	4	1			1	Data\source\player\M2\动作\M2b02yd游泳左侧游泳.tani
258	4	1			1	Data\source\player\M2\动作\M2b02yd游泳右侧游泳.tani
259	29				1	Data\source\player\M2\动作\M2bqg猛冲01.tani
260	29				1	Data\source\player\M2\动作\M2bqg左侧闪02.tani
261	29				1	Data\source\player\M2\动作\M2bqg右侧闪02.tani
262	30				0	Data\source\player\M2\动作\M2b02yd小跳c.tani
263	30				0	Data\source\player\M2\动作\M2b02yd小跳c.tani
264	29				1	Data\source\player\M2\动作\M2bqg疾退01.tani
265	29				1	Data\source\player\M2\动作\M2bqg猛冲01.tani
266	30				0	Data\source\player\M2\动作\M2bqg冲刺缓冲01.ani
267	16				0	Data\source\player\M2\动作\M2bqg水上漂a.tani
268	30				0	Data\source\player\M2\动作\M2bqg疾退缓冲01.tani
270	7	1			0	Data\source\player\M2\动作\M2b03ty拔武器01a.ani
271	7	2			0	Data\source\player\M2\动作\M2b03ty拔武器01b.tani
272	7	1			0	Data\source\player\M2\动作\M2b05ty拔武器02a.ani
273	7	2			0	Data\source\player\M2\动作\M2b05ty拔武器02b.tani
277	16				0	data\source\player\M2\动作\M2bqg扶摇直上01.tani
278	17				1	data\source\player\M2\动作\M2scy03轻功b.ani
279	18				0	data\source\player\M2\动作\M2scy03轻功c.tani
280	2	2			1	Data\source\player\M2\动作\M2b03cy战斗待机.ani
281	44	2			0	Data\source\player\M2\动作\M2b01bi闪避.tani
285	29				0	Data\source\player\M2\动作\M2b02zd击退.ani
287	29				0	Data\source\player\M2\动作\M2b02zd停滑.ani
288	30		0.7		0	Data\source\player\M2\动作\M2b01ty普通待机01.ani
289	22				0	Data\source\player\M2\动作\M2b02zd倒地.ani
291	45				1	Data\source\player\M2\动作\M2b02zd倒地中.ani
292	46		0.7		0	Data\source\player\M2\动作\M2b02zd倒地中被击.ani
301	12	2			0	data\source\player\M2\动作\M2b01bi攻击14.tani
302	12	2			0	data\source\player\M2\动作\M2b01bi攻击15.tani
303	12	2			0	data\source\player\M2\动作\M2b01bi攻击16.tani
304	12	2			0	data\source\player\M2\动作\M2b01qt攻击04.tani
305	12	2			0	data\source\player\M2\动作\M2b01qt攻击05.tani
306	13	2			0	data\source\player\M2\动作\M2b01qt攻击06.tani
307	14	2			0	data\source\player\M2\动作\M2swh01辅助技能01-01.tani
308	14	2			0	data\source\player\M2\动作\M2swh01辅助技能01-02.tani
309	14	2			0	data\source\player\M2\动作\M2swh01辅助技能01-03.tani
310	14	2			0	data\source\player\M2\动作\M2swh01辅助技能02.tani
311	14	2			0	data\source\player\M2\动作\M2swh01辅助技能03.tani
312	14	2			0	data\source\player\M2\动作\M2swh01辅助技能01-04.tani
313	14	2			0	data\source\player\M2\动作\M2swh01辅助技能04.tani
314	14	2			0	data\source\player\M2\动作\M2swh01针灸01.tani
315	14	2			0	data\source\player\M2\动作\M2swh01针灸02.tani
316	14	2			0	data\source\player\M2\动作\M2swh01针灸03-01.tani
317	14	2			0	data\source\player\M2\动作\M2swh01针灸04.tani
318	14	2			0	data\source\player\M2\动作\M2swh01针灸05-01.tani
319	14	2			0	data\source\player\M2\动作\M2swh01针灸03-02.tani
320	14	2			0	data\source\player\M2\动作\M2swh01针灸06.tani
321	14	2			0	data\source\player\M2\动作\M2swh01针灸05-02.tani
322	14	2			0	data\source\player\M2\动作\M2swh01点穴01.tani
323	14	2			0	data\source\player\M2\动作\M2swh01点穴02.tani
324	14	2			0	data\source\player\M2\动作\M2swh01点穴03.tani
325	14	2			0	data\source\player\M2\动作\M2swh01点穴04.tani
326	14	2			0	data\source\player\M2\动作\M2swh01点穴05.tani
327	14	2			0	data\source\player\M2\动作\M2swh01点穴06.tani
328	15	2			0	data\source\player\M2\动作\M2swh01拂穴01.tani
329	14	2			0	data\source\player\M2\动作\M2swh01拂穴02.tani
330	14	2			0	data\source\player\M2\动作\M2swh01拂穴03.tani
331	15	2			0	data\source\player\M2\动作\M2swh01拂穴04.tani
332	15	2			0	data\source\player\M2\动作\M2swh01拂穴05.tani
333	11	2			1	data\source\player\M2\动作\M2swh01蓄力01-01.tani
334	11	2			1	data\source\player\M2\动作\M2swh01蓄力01-02.tani
335	11	2			1	data\source\player\M2\动作\M2swh01蓄力01-03.tani
336	11	2			1	data\source\player\M2\动作\M2swh01蓄力02-01.tani
337	11	2			1	data\source\player\M2\动作\M2swh01蓄力02-02.tani
338	11	2			1	data\source\player\M2\动作\M2swh01蓄力02-03.tani
339	11	2			1	data\source\player\M2\动作\M2swh01蓄力03-01.tani
340	11	2			1	data\source\player\M2\动作\M2swh01蓄力02-04.tani
341	11	2			1	data\source\player\M2\动作\M2swh01蓄力02-05.tani
342	11	2			1	data\source\player\M2\动作\M2swh01蓄力04-01.tani
343	11	2			1	data\source\player\M2\动作\M2swh01蓄力04-02.tani
344	11	2			1	data\source\player\M2\动作\M2swh01蓄力04-03.tani
345	11	2			1	data\source\player\M2\动作\M2swh01蓄力06-01.tani
346	11	2			1	data\source\player\M2\动作\M2swh01蓄力06-02.tani
347	29				1	data\source\player\M2\动作\M2swh01点穴07.tani
348	30				0	data\source\player\M2\动作\M2bqg缓冲03.tani
450	14	2			0	data\source\player\M2\动作\M2stc04枪攻击01-陆战.tani
451	14	2			0	data\source\player\M2\动作\M2stc04枪攻击01-陆战.tani
453	14	2			0	data\source\player\M2\动作\M2stc04枪攻击02-陆战.tani
454	15	2			0	data\source\player\M2\动作\M2stc04枪攻击03-陆战.tani
455	15	2			0	data\source\player\M2\动作\M2stc04枪攻击04.tani
456	15	2			0	data\source\player\M2\动作\M2stc04枪攻击05-冲刺.ani
457	15	2			0	data\source\player\M2\动作\M2stc04枪攻击05-攻击.tani
458	15	2			0	data\source\player\M2\动作\M2stc04枪攻击10.tani
459	15	2			0	data\source\player\M2\动作\M2stc04枪攻击09.tani
460	14	2			0	data\source\player\M2\动作\M2stc04技能02-01.tani
461	14	2			0	data\source\player\M2\动作\M2stc04技能01-05.tani
462	14	2			0	data\source\player\M2\动作\M2stc04技能01-02.tani
463	14	2			0	data\source\player\M2\动作\M2stc04技能01-03.tani
464	14	2			0	data\source\player\M2\动作\M2stc04技能01-04.tani
465	14	2			0	data\source\player\M2\动作\M2stc04技能01-01.tani
466	15	2			0	data\source\player\M2\动作\M2stc04枪攻击08.tani
467	14	2			0	data\source\player\M2\动作\M2stc04枪攻击07.tani
472	14	2			0	data\source\player\M2\动作\M2stc04枪攻击13-陆战.tani
473	14	2			0	data\source\player\M2\动作\M2stc04枪攻击21-陆战.tani
474	14	2			0	data\source\player\M2\动作\M2stc04枪攻击15.tani
475	14	2			0	data\source\player\M2\动作\M2stc04枪攻击16.tani
477	14	1			0	data\source\player\M2\动作\M2stc04技能03.tani
478	29	2			1	data\source\player\M2\动作\M2stc04枪攻击18.tani
480	11	1			1	data\source\player\M2\动作\M2stc04蓄力01-陆战.ani
481	14	1			0	data\source\player\M2\动作\M2stc04枪攻击20-陆战.ani
482	14	2			0	data\source\player\M2\动作\M2stc04枪攻击21-陆战.ani
500	14	1			0	data\source\player\M2\动作\M2ssl04技能01.tani
501	14	1			0	data\source\player\M2\动作\M2ssl04技能02-01.tani
502	14	1			0	data\source\player\M2\动作\M2ssl04技能02-02.tani
503	14	1			0	data\source\player\M2\动作\M2ssl04技能02-03.tani
504	14	1			0	data\source\player\M2\动作\M2ssl04技能02-04.tani
505	14	1			0	data\source\player\M2\动作\M2ssl04技能02-05.tani
506	14	1			0	data\source\player\M2\动作\M2ssl04技能02-06.tani
507	14	1			0	data\source\player\M2\动作\M2ssl04技能02-07.tani
508	14	1			0	data\source\player\M2\动作\M2ssl04技能03.tani
509	15	1			0	data\source\player\M2\动作\M2ssl04技能04.tani
510	14	1			0	data\source\player\M2\动作\M2ssl04技能05.tani
511	14	1			0	data\source\player\M2\动作\M2ssl04技能06.tani
512	14	1			0	data\source\player\M2\动作\M2ssl04吟唱12.tani
513	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击02.tani
514	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击01.tani
515	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击03-01.tani
516	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击03-02.tani
517	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击04.tani
518	15	2			0	data\source\player\M2\动作\M2ssl04棍攻击05.tani
519	14	2			0	data\source\player\M2\动作\M2ssl04棍攻击06.tani
520	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击01.tani
521	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击02.tani
522	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击03.tani
523	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击04.tani
524	11	1			1	data\source\player\M2\动作\M2ssl04爪攻击05-吟唱.tani
525	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击05-攻击.tani
526	14	1			0	data\source\player\M2\动作\M2ssl04爪攻击06.tani
527	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击01.tani
528	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击02.tani
529	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击03.tani
530	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击04.tani
531	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击05.tani
532	14	1			0	data\source\player\M2\动作\M2ssl04袈裟攻击06.tani
533	14	1			0	data\source\player\M2\动作\M2ssl04技能02-08.tani
534	17	1			1	data\source\player\M2\动作\M2ssl04轻功01.ani
535	13	1			0	data\source\player\M2\动作\M2ssl04轻功01缓冲.tani
536	7	1			0	Data\source\player\M2\动作\M2b04ty拔武器02a.ani
537	7	2			0	Data\source\player\M2\动作\M2b04ty拔武器02b.tani
538	20	1			1	data\source\player\M2\动作\M2ssl04轻功01.ani
600	14	2			0	data\source\player\M2\动作\M2scy03技能03-01.tani
601	14	2			0	data\source\player\M2\动作\M2scy03技能01-01.tani
602	14	2			0	data\source\player\M2\动作\M2scy03气攻击01-01.tani
603	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能10-01.tani
604	14	2			0	data\source\player\M2\动作\M2scy03剑攻击02-01.tani
605	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能02.tani
606	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能09-01.tani
607	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能11.tani
608	14	2			0	data\source\player\M2\动作\M2scy03技能02-01.tani
609	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能21.tani
610	15	2			0	data\source\player\M2\动作\M2scy03纯阳技能18.tani
611	14	2			0	data\source\player\M2\动作\M2scy03剑攻击02-02.tani
612	11	2			1	data\source\player\M2\动作\M2scy03聚气01-01.tani
613	14	2			0	data\source\player\M2\动作\M2scy03剑攻击01.tani
614	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能09-02.tani
615	11	2			1	data\source\player\M2\动作\M2scy03纯阳技能20.tani
616	11	2			1	data\source\player\M2\动作\M2scy03聚气01-02.tani
617	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能17.tani
618	14	2			0	data\source\player\M2\动作\M2scy03纯阳技能10-02.tani
619	11	2			1	data\source\player\M2\动作\M2scy03聚气01-03.tani
620	14	2			0	data\source\player\M2\动作\M2scy03气攻击01-02.tani
621	11	2			1	data\source\player\M2\动作\M2scy03聚气01-04.tani
622	14	2			0	data\source\player\M2\动作\M2scy03技能05-01.tani
623	11	2			1	data\source\player\M2\动作\M2scy03聚气01-05.tani
624	14	2			0	data\source\player\M2\动作\M2scy03技能05-02.tani
625	11	2			1	data\source\player\M2\动作\M2scy03聚气01-06.tani
626	14	2			0	data\source\player\M2\动作\M2scy03技能05-03.tani
627	11	2			1	data\source\player\M2\动作\M2scy03聚气01-07.tani
628	14	2			0	data\source\player\M2\动作\M2scy03技能05-04.tani
629	11	2			1	data\source\player\M2\动作\M2scy03聚气01-08.tani
630	14	2			0	data\source\player\M2\动作\M2scy03技能05-05.tani
631	11	2			1	data\source\player\M2\动作\M2scy03聚气01-09.tani
632	14	2			0	data\source\player\M2\动作\M2scy03技能05-06.tani
633	11	2			1	data\source\player\M2\动作\M2scy03聚气01-10.tani
634	14	2			0	data\source\player\M2\动作\M2scy03技能05-07.tani
635	14	2			0	data\source\player\M2\动作\M2scy03气攻击01-05.tani
636	14	2			0	data\source\player\M2\动作\M2scy03气攻击01-06.tani
637	11	2			1	data\source\player\M2\动作\M2scy03聚气01-11.tani
638	14	2			0	data\source\player\M2\动作\M2scy03技能02-03.tani
639	14	2			0	data\source\player\M2\动作\M2scy03技能05-08.tani
640	14	2			0	data\source\player\M2\动作\M2scy03气攻击01-07.tani
641	14	2			0	data\source\player\M2\动作\M2scy03技能05-09.tani
642	14	2			0	data\source\player\M2\动作\M2scy03技能02-04.tani
643	14	2			0	data\source\player\M2\动作\M2scy03技能02-05.tani
644	14	2			0	data\source\player\M2\动作\M2scy03技能04-04.tani
645	16				0	data\source\player\M2\动作\M2scy03轻功a.tani
646	17				1	data\source\player\M2\动作\M2scy03轻功b.ani
647	18				0	data\source\player\M2\动作\M2scy03轻功c.tani
648	15	2			0	data\source\player\M2\动作\M2scy03纯阳技能22.tani
900	11	1			1	Data\source\player\M2\动作\M2s06sh采矿01.tani
901	11	1			1	Data\source\player\M2\动作\M2s06sh采药01.tani
902	14	1			0	Data\source\player\M2\动作\M2s06sh喝药01.tani
903	11	1			1	Data\source\player\M2\动作\M2s06sh铸造01.tani
904	11	1			1	Data\source\player\M2\动作\M2s06sh缝纫01.tani
905	11	1			1	Data\source\player\M2\动作\M2s06sh割皮01.tani
906	11	1			1	Data\source\player\M2\动作\M2s06sh烹饪01.tani
907	11	1			0	Data\source\player\M2\动作\M2s06sh请客01.tani
908	11	1			1	Data\source\player\M2\动作\M2s06sh送礼01.tani
909	11	1			1	Data\source\player\M2\动作\M2s06sh搜索01.ani
910	8	1			0	Data\source\player\M2\动作\M2b02dj拾取b.ani
911	31	1			1	Data\source\player\M2\动作\M2b02dj吃碗.tani
912	11	1			1	Data\source\player\M2\动作\M2s06sh摆摊01.ani
913	11	1			1	Data\source\player\M2\动作\M2s06sh采矿01.tani
920	14	1			0	Data\source\player\M2\动作\M2s06sh采矿01-01.tani
921	11	2			1	Data\source\player\M2\动作\M2b03ty攻击01.tani
922	31	1			1	Data\source\player\M2\动作\M2b02dj猜拳预备01.ani
923	31	1			0	Data\source\player\M2\动作\M2b02dj猜拳布01.ani
924	31	1			0	Data\source\player\M2\动作\M2b02dj猜拳剪刀01.ani
925	31	1			0	Data\source\player\M2\动作\M2b02dj猜拳拳头01.ani
926	11	1			1	Data\source\player\M2\动作\M2s06sh采矿01-01.tani
927	31	1			1	Data\source\player\M2\动作\M2b02dj如来神掌.ani
928	26	1			0	Data\source\player\M2\动作\M2b02dj睡觉a.tani
929	47	1			1	Data\source\player\M2\动作\M2b02dj睡觉b.tani
930	28	1			0	Data\source\player\M2\动作\M2b02dj睡觉c.tani
931	31	1			1	Data\source\player\M2\动作\M2b02dj吹笛子01.tani
932	31	1			0	Data\source\player\M2\动作\M2b02dj站立引导b.ani
933	31	1			0	Data\source\player\M2\动作\M2s06sh搜索01.ani
934	11	1			1	Data\source\player\M2\动作\M2s06sh抄录01.tani
935	31	1			0	Data\source\player\M2\动作\M2b02dj表白.tani
936	31	1			0	Data\source\player\M2\动作\M2b02dj惩罚.ani
